trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.5, 'e': 0.9847735122082305}",25,0,-81.14675120724027,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9844712915929961}",30,0,-119.90510079469499,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.984166124554368}",20,0,-93.43114308559544,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9838580120056803}",25,0,-78.02783906560825,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.9835469548690831}",20,0,-173.26415313154035,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
106,False,"{'a': 0.5, 'e': 0.9832329540755386}",20,0,-164.2347318148412,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
107,False,"{'a': 0.5, 'e': 0.9829160105648199}",20,0,-114.30196049277922,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.9825961252855069}",20,0,-90.89195524445762,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.9822732991949839}",25,0,-169.35142410696497,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.981947533259437}",25,0,-148.9701578587623,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.9816188284538507}",25,0,-108.72638338587225,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9812871857620057}",20,0,-74.67631675666549,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.9809526061764747}",20,0,-152.432079650463,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.980615090698621}",20,8,-41.55384383020976,"{0: 6, 1: 4, 2: 1, 3: 1, 4: 0}",1
